Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Leadbeater, M; Winiecki, T; Samuels, DC; Barenghi, CF; Adams, CS; ",Sound emission due to superfluid vortex reconnections,Physical Review Letters,86,8,1410,2001,APS
"Adams, CS; Barenghi, CF; Leadbeater, M; Samuels, DC; Winiecki, T; ",Sound Emission due to Superfluid Vortex Reconnections,Physical Review Letters,86,08,,2003,
"Pineau des Forets, G; Flower, DR; ",Chemical evidence for ambipolar diffusion in interstellar shocks: a suggested observational test,Monthly Notices of the Royal Astronomical Society,228,1,1P-4P,1987,"Oxford University Press Oxford, UK"
"Whittaker, KA; Keaveney, J; Hughes, IG; Sargsyan, A; Sarkisyan, D; Adams, CS; ",Spectroscopic detection of atom-surface interactions in an atomic-vapor layer with nanoscale thickness,Physical Review A,92,5,052706,2015,APS
"Marchant, AL; Wiles, TP; Händel, S; Yu, MMH; Hopkins, SA; Cornish, SL; ",Bose-Einstein condensation of 85 Rb: formation of bright matter-wave solitons,,,,,,Citeseer
"Flower, DR; ",The rotational excitation of OCS by He at low temperatures,Monthly Notices of the Royal Astronomical Society,328,1,147-149,2001,"Blackwell Science Ltd Oxford, UK"
"Gröbner, Michael; Weinmann, Philipp; Kirilov, Emil; Nägerl, Hanns-Christoph; Julienne, Paul S; Le Sueur, C Ruth; Hutson, Jeremy M; ",Observation of interspecies Feshbach resonances in an ultracold K 39− Cs 133 mixture and refinement of interaction potentials,Physical Review A,95,2,022715,2017,APS
"Adams, Charles S; ",Hybrid quantum interfaces using Rydberg collective encoding,,,,,,
"Flower, DR; Pineau Des Forets, G; ",Solar emission lines produced in the wake of a shock wave. I-The thermodynamic cycle,Astronomy and Astrophysics,93,,347-352,1981,
"Scholl, Pascal; Williams, Hannah J; Bornet, Guillaume; Wallner, Florian; Barredo, Daniel; Henriet, L; Signoles, Adrien; Hainaut, Clément; Franz, Titus; Geier, S; ",Microwave Engineering of Programmable X X Z Hamiltonians in Arrays of Rydberg Atoms,PRX Quantum,3,2,020303,2022,APS
"Zentile, Mark A; Mathew, Renju S; Whiting, Daniel J; Keaveney, James; Adams, Charles S; Hughes, Ifan G; ",Effect of line broadening on the performance of Faraday filters,arXiv preprint arXiv:1504.03651,,,,2015,
"Xu, Minzhong; Bačić, Zlatko; Hutson, Jeremy M; ","Clusters containing open-shell molecules. II. Equilibrium structures of Ar n OH Van der Waals clusters (X 2 Π, n= 1 to 15)",The Journal of chemical physics,117,10,4777-4786,2002,American Institute of Physics
"Jackson, B; McCann, JF; Adams, CS; ",Mutual Drag in Two-Component Trapped Bose-Einstein Condensates,,,,,1999,
"Schilke, P; Walmsley, CM; Pineau Des Forets, G; Roueff, E; Flower, DR; Guilloteau, S; ","A study of HCN, HNC and their isotopomers in OMC-1. I-Abundances and chemistry","Astronomy and Astrophysics (ISSN 0004-6361), vol. 256, no. 2, p. 595-612.",256,,595-612,1992,
"Baer, T; Hutson, JM; Nesbitt, DJ; Scoles, G; ",Roger E. Miller (obituary),,,,,2006,
"Flower, David R; Heck, L; Pineau des Forets, G; Millar, Tom J; ",The erosion of PAH molecules within shocks in dark clouds,Monthly Notices of the Royal Astronomical Society,242,4,512-516,1990,The Royal Astronomical Society
"Hutson, Jeremy M; Howard, Brian J; ",Anisotropic intermolecular forces. I. Rare gas—hydrogen chloride systems,Molecular Physics,100,1,151-164,2002,Taylor & Francis
"Battaglieri, Marco; Belloni, Alberto; Chou, Aaron; Cushman, Priscilla; Echenard, Bertrand; Essig, Rouven; Estrada, Juan; Feng, Jonathan L; Flaugher, Brenna; Fox, Patrick J; ",US cosmic visions: new ideas in dark matter 2017: community report,arXiv preprint arXiv:1707.04591,,,,2017,
"POTVLIEGE, RM; SHAKESHAFT, ROBIN; ",FLOQUET FRAMEWORK,Atoms in Intense Laser Fields,1,,373,1992,Academic Press
"Flower, David R; Bourlot, J Le; Des Forêts, G Pineau; Cabrit, Sylvie; ",The contributions of J-type shocks to the H2 emission from molecular outflow sources,Monthly Notices of the Royal Astronomical Society,341,1,70-80,2003,The Royal Astronomical Society
"Pfau, Tilman; Adams, Charles S; Mlynek, Jürgen; ",Proposal for a magneto-optical beam splitter for atoms,Europhysics Letters,21,4,439,1993,IOP Publishing
"Flower, DR; Penn, CJ; ",Physical Conditions in the Planetary Nebula Hb 12,Symposium-International Astronomical Union,103,,519-520,1983,Cambridge University Press
"Flower, DR; ",Interstellar chemistry,International Reviews in Physical Chemistry,14,2,421-443,1995,Taylor & Francis
"Labiad, Hamza; Fournier, Martin; Mertens, Laura A; Faure, Alexandre; Carty, David; Stoecklin, Thierry; Jankowski, Piotr; Szalewicz, Krzysztof; Le Picard, Sébastien D; Sims, Ian R; ",Absolute measurements of state-to-state rotational energy transfer between CO and H 2 at interstellar temperatures,Physical Review A,105,2,L020802,2022,APS
"Flower, David; ",Molecular collisions in the interstellar medium,,42,,,2007,Cambridge University Press
"Pottage, JT; Flower, DR; Davis, Stephen L; ",The rotational excitation by helium of methanol in its ground and first excited torsional states,"Journal of Physics B: Atomic, Molecular and Optical Physics",35,11,2541,2002,IOP Publishing
"Buckingham, AD; Fowler, PW; Hutson, Jeremy M; ",Theoretical studies of van der Waals molecules and intermolecular forces,Chemical Reviews,88,6,963-988,1988,ACS Publications
"Cvitas, Marko T; Solain, Pavel; Hutson, Jeremy M; Honvault, Pascal; Launay, Jean-Michel; ","General Physics: Statistical and Quantum Mechanics, Quantum Information, etc.-Ultracold Collisions Involving Heteronuclear Alkali Metal Dimers",Physical Review Letters,94,20,200402-200402,2005,"[Woodbury, NY, etc.] American Physical Society."
"Adams, Charles; ",Cooperative optical non-linearity using Rydberg atoms,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",55,5,OPQ. 10,2010,
"Flower, DR; Seaton, MJ; ",On the polarization of alkali atom resonance lines excited by electron impact,Proceedings of the Physical Society,91,1,59,1967,IOP Publishing
"Jonathan, Philip; Jones, Matthew; ","Environmental decision support: rare events, monitoring and inversion, and uncertainty quantification",,,,,,
"Vucic, S; Potvliege, RM; Joachain, CJ; ","Third-order optical model analysis of e+ or-H (2s), e+ or-He (21S) and e+ or-He (23S) elastic scattering at intermediate energies",Journal of Physics B: Atomic and Molecular Physics,20,13,3157,1987,IOP Publishing
"West, Adam D; Wade, Christopher G; Weatherill, Kevin J; Hughes, Ifan G; ",Piezoelectrically actuated time-averaged atomic microtraps,Applied Physics Letters,101,2,,2012,AIP Publishing
"Flower, DR; Roueff, E; Zeippen, CJ; ",Rovibrational excitation of molecules by He atoms,"Journal of Physics B: Atomic, Molecular and Optical Physics",31,5,1105,1998,IOP Publishing
"Liu, Yang; Vashishta, Manish; Djuricanin, Pavle; Zhou, Sida; Zhong, Wei; Mittertreiner, Tony; Carty, David; Momose, Takamasa; ",Magnetic trapping of cold methyl radicals,Physical review letters,118,9,093201,2017,APS
"Halkyard, PL; Jones, MPA; Gardiner, SA; ",Rotational response of two-component Bose-Einstein condensates in ring traps,Physical Review A,81,6,061602,2010,APS
"Vuić, Svetlana; Potvliege, RM; Joachain, CJ; ",Second Born triple-differential cross sections for the coplanar asymmetric ionization of H (2s) by fast electrons,Physical Review A,35,3,1446,1987,APS
"Sargsyan, Armen; Sarkisyan, David; Krohn, Ulrich; Keaveney, James; Adams, Charles; ",Effect of buffer gas on an electromagnetically induced transparency in a ladder system using thermal rubidium vapor,Physical Review A,82,4,045806,2010,APS
"Maucher, F; Gardiner, SA; Hughes, IG; ",Excitation of knotted vortex lines in matter waves,New Journal of Physics,18,6,063016,2016,IOP Publishing
"Karman, Tijs; Hutson, Jeremy M; ",Microwave shielding of ultracold polar molecules with imperfectly circular polarization,Physical review A,100,5,052704,2019,APS
"Bergamini, Silvia; Darquié, Benoît; Jones, Matthew; Jacubowiez, Lionel; Browaeys, Antoine; Grangier, Philippe; ",Holographic generation of microtrap arrays for single atoms by use of a programmable phase modulator,JOSA B,21,11,1889-1894,2004,Optica Publishing Group
"Pizzey, Danielle; Briscoe, Jack Daniel; Logue, Fraser D; Ojeda, Francisco Sebastian Ponciano; Wrathmall, Steven Andrew; Hughes, Ifan Glyndwr; ",Laser spectroscopy of hot atomic vapours: from’scope to theoretical fit,New Journal of Physics,,,,2022,IOP Publishing
"Flower, DR; ",Ultraviolet spectra of planetary nebulae. 2. The young planetary nebula IC 4997,Mon. Not. R. Astron. Soc.;(United Kingdom),193,2,,1980,
"Robertson, Elizabeth J; Šibalić, Nikola; Potvliege, Robert M; Jones, Matthew PA; ",ARC 3.0: An expanded Python toolbox for atomic physics calculations,Computer Physics Communications,261,,107814,2021,Elsevier
"Faure, Alexandre; Lique, Francois; Flower, David R; ",Nonreactive Scattering,"Springer Handbook of Atomic, Molecular, and Optical Physics",,,575-581,2023,Springer
"Cho, HW; McCarron, DJ; Jenkin, DL; Köppinger, MP; Cornish, SL; ",A high phase-space density mixture of 87 Rb and 133 Cs: towards ultracold heteronuclear molecules,The European Physical Journal D,65,,125-131,2011,Springer
"Thibault, F; Boissoles, J; Boulet, C; Ozanne, L; Bouanich, JP; Roche, CF; Hutson, JM; ","Gas Phase Dynamics and Structure: Spectroscopy, Molecular Interactions, Scattering, and Photochemistry-Energy corrected sudden calculations of linewidths and line shapes based on coupled states",Journal of Chemical Physics,109,15,6338-6345,1998,"[New York, etc.]: American Institute of Physics."
"Heck, EL; Flower, DR; Le Bourlot, J; Pineau des Forets, G; Roueff, E; ",Models of the o Per diffuse interstellar cloud,Monthly Notices of the Royal Astronomical Society,262,3,795-799,1993,"Oxford University Press Oxford, UK"
"Lee, Heun‐Jin; Adams, Charles; Davidson, Nir; Young, Brent; Weitz, Martin; Kasevich, Mark; Chu, Steven; ","Dipole trapping, cooling in traps, and long coherence times",AIP Conference Proceedings,323,1,258-275,1994,American Institute of Physics
"Lynch, Stephen A; Hodges, Chris; Mandal, Soumen; Langbein, Wolfgang; Singh, Ravi P; Gallagher, Liam AP; Pritchett, Jon D; Pizzey, Danielle; Rogers, Joshua P; Adams, Charles S; ",Rydberg excitons in synthetic cuprous oxide Cu 2 O,Physical Review Materials,5,8,084602,2021,APS
"Mathew, Renju S; Ponciano-Ojeda, Francisco; Keaveney, James; Whiting, Daniel J; Hughes, Ifan G; ",Simultaneous two-photon resonant optical laser locking (STROLLing) in the hyperfine Paschen–Back regime,Optics Letters,43,17,4204-4207,2018,Optica Publishing Group
"Cornish, Simon; ",Creation of Ultracold Cs2 and RbCs Feshbach Molecules,New Science with Ultracold Molecules,,,37,2013,
"Monteiro, TS; Flower, DR; ",Excitation of [O i] and [C i] fine structure transitions by He and H2: a neglected selection rule,Monthly Notices of the Royal Astronomical Society,228,1,101-107,1987,"Oxford University Press Oxford, UK"
"des Forêts, G Pineau; Flower, DR; Dalgarno, A; ",Theoretical studies of interstellar molecular shocks–VIII. Poly cyclic aromatic hydrocarbons in dark clouds,Monthly Notices of the Royal Astronomical Society,235,2,621-631,1988,"Oxford University Press Oxford, UK"
"Flower, DR; Nussbaumer, H; ",Relative intensities of solar emission lines of ions in the sodium isoelectronic sequence,Astronomy and Astrophysics,42,,265-268,1975,
"Flower, David; ",Flows in Molecular Media,Jets from Young Stars IV: From Models to Observations and Experiments,,,161-194,2010,Springer
"Forster, C; Cooper, IL; Dickinson, AS; Flower, DR; Méndez, L; ",Charge transfer in slow collisions of Ne2+ with H,"Journal of Physics B: Atomic, Molecular and Optical Physics",24,15,3433,1991,IOP Publishing
"Gardiner, SA; Walser, R; Zoller, P; Poyatos, JF; Cirac, JI; Blatt, R; ","Arbitrary preparation, destruction and measurement of quantum states of a trapped ion",International Quantum Electronics Conference,,,TuL51,1996,Optica Publishing Group
"Flower, DR; ",Dust emission from planetary nebulae: the physical state of the grains.,Liege International Astrophysical Colloquia,18,,165-174,1973,
"Flower, DR; ","Physics Department. Durham University. Durham DH1 3LE, UK.","Galactic and Extragalactic Infrared Spectroscopy: Proceedings of the XVIth ESLAB Symposium, held in Toledo, Spain, December 6–8, 1982",108,,88,2012,Springer Science & Business Media
"Carty, David; ",A Moving Trap Zeeman Decelerator for Quantum Simulation,New Science with Ultracold Molecules,,,29,2013,
"Kylstra, NJ; Potvliege, RM; ",Atoms in intense laser fields,,,,,2014,Cambridge University Press
"Vucic, S; Potvliege, RM; Joachain, CJ; ","Third-order optical model analysis of e/sup+-/H (2s), e/sup+-/He (2/sup 1/S) and e/sup+-/He (2/sup 3/S) elastic scattering at intermediate energies","J. Phys., B (London);(United Kingdom)",20,13,,1987,
"Griffin, PF; Weatherill, KJ; MacLeod, SG; Potvliege, RM; Adams, CS; ",Spatially selective loading of an optical lattice by light-shift engineering using an auxiliary laser field,New Journal of Physics,8,1,11,2006,IOP Publishing
"Byron Jr, FW; Joachain, CJ; Potvliege, RM; ",Unitarisation of the eikonal-Born series method for electron-and positron-atom collisions,Journal of Physics B: Atomic and Molecular Physics,14,19,L609,1981,IOP Publishing
"Bach, R; d’Arcy, MB; Gardiner, SA; Burnett, K; ",Quantum Mechanical Cumulant Dynamics near Stable Periodic Orbits in Phase Space,arXiv preprint physics/0310143,,,,2003,
"Gardiner, SA; Pellizzari, T; Cirac, JI; Zoller, P; ",Decoherence in a quantum computer; Dekohaerenz in einem Quantencomputer,,,,,1995,
"McArd, Lewis A; Mizouri, Arin; Walker, Paul A; Singh, Vijay; Krohn, Ulrich; Hinds, Ed A; Carty, David; ",A Moving-Trap Zeeman Decelerator,arXiv preprint arXiv:1807.10648,,,,2018,
"Hopkins, Stephen A; Cornish, Simon L; ",Ultracold Quantum Gases: Key Experimental Techniques,Quantum Gases: Finite Temperature and Non-Equilibrium Dynamics,,,41-60,2013,World Scientific
"Hill, Ian R; Hobson, Richard; Bowden, William; Schioppo, Marco; Silva, Alissa; Gill, Patrick; Margolis, Helen; Huillery, Paul H; Jones, Matthew PA; ",Sr lattice clocks at NPL,2018 IEEE International Frequency Control Symposium (IFCS),,,1-2,2018,IEEE
"Cabrit, Sylvie; Flower, D; Pineau des Forêts, G; Wilgenbus, D; ",H_2 emission and ortho/para ratio conversion in non-dissociative C and J type shocks,H2 in Space,,,E. 19,1999,
"Guttridge, Alexander; Ruttley, Daniel K; Baldock, Archie C; González-Férez, Rosario; Sadeghpour, HR; Adams, CS; Cornish, Simon L; ",Observation of Rydberg blockade due to the charge-dipole interaction between an atom and a polar molecule,Physical Review Letters,131,1,013401,2023,APS
"de Melo, Natalia R; Wade, Christopher G; Šibalić, Nikola; Kondo, Jorge M; Adams, Charles S; Weatherill, Kevin J; ",Intrinsic Optical Bistability in a Rydberg Ensemble,Frontiers in Optics,,,FW6B. 4,2017,Optica Publishing Group
"Gusdorf, A; Güsten, R; Menten, KM; Flower, DR; Des Forêts, G Pineau; Codella, CLAUDIO; Csengeri, T; Gómez-Ruiz, AI; Heyminck, S; Jacobs, K; ",Challenging shock models with SOFIA OH observations in the high-mass star-forming region Cepheus A,Astronomy & Astrophysics,585,,A45,2016,EDP Sciences
"Gusdorf, Antoine; Giannini, Teresa; Flower, DR; Parise, Berengere; Güsten, Rolf; Kristensen, Lars E; ",Revisiting the shocks in BHR71: new observational constraints and H2O predictions for Herschel,Astronomy & Astrophysics,532,,A53,2011,EDP Sciences
"Rakonjac, Ana; Marchant, Anna L; Yu, Manfred MH; Billam, Thomas P; Helm, John L; Gardiner, Simon A; Cornish, Simon L; ",TOWARDS PRECISION SENSING OF ATOM-SURFACE INTERACTIONS AND ROTATION USING BOSE-EINSTEIN CONDENSATES,Matariki Workshop on Quantum Science,,,44,,
"Griffin, PF; Weatherill, KJ; MacLeod, SG; Potvliege, RM; Adams, CS; ","Enhanced, Site-Specific Loading of Optical Lattices Using Light-Shift Engineering of an Atomic Excited State",EUROPHYSICS CONFERENCE ABSTRACTS ECA,29,I,p61,2005,EUROPEAN PHYSICAL SOCIETY
"Potvliege, RM; Furtado, F; Joachain, CJ; ",Multichannel optical mole theory of proton-hydrogen and proton-helium elastic scattering at intermediate energies,Journal of Physics B: Atomic and Molecular Physics,20,8,1771,1987,IOP Publishing
"Yang, BC; Frye, Matthew D; Guttridge, A; Aldegunde, Jesus; Żuchowski, Piotr S; Cornish, Simon L; Hutson, Jeremy M; ",Magnetic Feshbach resonances in ultracold collisions between Cs and Yb atoms,Physical Review A,100,2,022704,2019,APS
"Hutson, Jeremy M; McCourt, Frederick R; ",Close‐coupling calculations of transport and relaxation cross sections for H2 in Ar,The Journal of chemical physics,80,3,1135-1149,1984,American Institute of Physics
"Dörr, Martin; Potvliege, RM; Shakeshaft, Robin; ",Tunneling ionization of atomic hydrogen by an intense low-frequency field,Physical review letters,64,17,2003,1990,APS
"Garland, LW; Jaron, A; Kaminski, JZ; Potvliege, RM; ",Off-shell effects in laser-assisted electron scattering at low frequency,"Journal of Physics B: Atomic, Molecular and Optical Physics",35,13,2861,2002,IOP Publishing
"Joachain, Charles Jean; Kylstra, Niels J; Potvliege, Robert M; ",Atoms in intense laser fields,,,,,2012,Cambridge University Press
"Maxwell, Daniel Thomas; Weatherill, Kevin John; Szwer, David James; Jones, Matthew Philip Austin; Pritchard, Jonathan David; Barato, David Paredes; Gauguet, Alexandre; Busche, Hannes; Adams, Charles Stuart; ",Coherent control of strongly interacting Rydberg polaritons,,,,,2012,
"Roberts, Clayton; Shorttle, Oliver; Mandel, Kaisey; Jones, Matthew; Ijzermans, Rutger; Hirst, Bill; Jonathan, Philip; ",Enhanced monitoring of atmospheric methane from space with hierarchical Bayesian inference,arXiv e-prints,,,arXiv: 2111.12486,2021,
"Carr, Christopher; Weatherill, Kevin J; Adams, Charles S; Ritter, Ralf; ",Cooperative non-equilibrium phase transition in a dilute thermal atomic gas,Phys. Rev. Lett.,111,arXiv: 1302.6621,113901,2013,
"Key, M; Hughes, IG; Rooijakkers, W; Sauer, BE; Hinds, EA; ","A cloud of laser-cooled"" Rb atoms is coupled through a magnetic funnel into",,,,,,
"de Melo, Natalia R; Wade, Christopher G; Šibalić, Nikola; Kondo, Jorge M; Adams, Charles S; Weatherill, Kevin J; ",Intrinsic optical bistability in a strongly driven Rydberg ensemble,Physical Review A,93,6,063863,2016,APS
"Wade, Christopher G; Marcuzzi, Matteo; Levi, Emanuele; Kondo, Jorge M; Lesanovsky, Igor; Adams, Charles S; Weatherill, Kevin J; ",Terahertz-driven phase transition applied as a room-temperature terahertz detector,arXiv preprint arXiv:1709.00262,,,,2017,
"Helm, John L; Billam, Thomas P; Gardiner, Simon A; ",Bright matter-wave soliton collisions at narrow barriers,Physical Review A,85,5,053621,2012,APS
"Deskevich, Michael P; McCoy, Anne B; Hutson, Jeremy M; Nesbitt, David J; ","Large-amplitude quantum mechanics in polyatomic hydrides. II. A particle-on-a-sphere model for XHn (n= 4, 5)",The Journal of chemical physics,128,9,,2008,AIP Publishing
"Jones, Matthew; ",The Illusion of Objectivity in the Rating Agencies’ Evaluation of ESG Impacts and Risks: Exploring the Potential of a New Approach to Assessing Company ESG Performance,,,,,2022,Lancaster University (United Kingdom)
"Hutson, JM; ","Sets of coupled potential energy surfaces for pre-reactive Van der Waals complexes: F-HF, Cl-Hcl and Br-HBr",Abstracts of Papers: American Chemical Society Meetings,221,,,2001,
"Hutson, Jeremy M; ","Classical path methods for lineshape cross sections, ed. by WA Wakeham",,,,,1992,Jeremy M. Hutson
"Sirunyan, AM; Erbacher, Robin; Carvalho, Wagner; Górski, Maciej; Kotlinski, Danek; Ujvari, Balazs; Lander, Richard; Khalil, Shaaban; Smith, Nicholas; Choi, Young-Il; ",arXiv: Search for supersymmetry in events with one lepton and multiple jets exploiting the angular correlation between the lepton and the missing transverse momentum in proton-proton collisions at $\sqrt {s}= $13 TeV,Phys. Lett. B,780,CERN-EP-2017-201,384,2017,
"Roberts, Jacob L; Claussen, Neil R; Cornish, Simon L; Wieman, Carl E; ",Magnetic field dependence of ultracold inelastic collisions near a Feshbach resonance,Physical Review Letters,85,4,728,2000,APS
"Żuchowski, Piotr S; Hutson, Jeremy M; ",Reactions of ultracold alkali-metal dimers,Physical Review A,81,6,060703,2010,APS
"Boddy, Danielle; Reed, Dominic; Wade, Chris; Weatherill, Kevin; ",Ultracold Ion and Electron Sources from Laser Cooled Atoms,,,,,,
"Baker, R; Belal, A; Demirag, I; Dillard, J; Jones, MJ; Kirkham, L; Parker, LD; Power, D; Roslender, R; Solomon, UKJ; ",Associate Editors WebSh,,,,,,Taylor & Francis
"Knappe, Svenja A; Zentile, MA; Andrews, Rebecca; Weller, L; Adams, CS; Hughes, IG; ",The hyperfine Paschen-Back Faraday effect,,,,,2014,"Svenja A. Knappe, MA Zentile, Rebecca Andrews, L. Weller, CS Adams, IG Hughes"
"Adam, Wolfgang; Bergauer, T; Bloech, D; Brondolin, E; Dragicevic, M; Fruehwirth, R; Hinger, V; Steininger, H; Beaumont, W; Di Croce, D; ",The DAQ and control system for the CMS Phase-1 pixel detector upgrade,Journal of Instrumentation,14,10,P10017,2019,IOP Publishing
"Pritchard, Jonathan D; Weatherill, Kevin J; Adams, Charles S; ",Nonlinear optics using cold Rydberg atoms,Annual Review of Cold Atoms and Molecules: Volume 1,,,301-350,2013,World Scientific
"Wilgenbus, David; Cabrit, Sylvie; Pineau des Forets, Guillaume; Flower, DR; ",The ortho: para-H_2 ratio in C-and J-type shocks,"Astronomy and Astrophysics, v. 356, p. 1010-1022 (2000)",356,,1010-1022,2000,
"Alqarni, Sharaa A; Briscoe, Jack D; Higgins, Clare R; Logue, Fraser D; Pizzey, Danielle; Robertson-Brown, Thomas G; Hughes, Ifan G; ",A device for magnetic-field angle control in magneto-optical filters using a solenoid-permanent magnet pair,arXiv preprint arXiv:2308.16643,,,,2023,
"Kemp, Stefan L; Hughes, Ifan G; Cornish, Simon L; ",An analytical model of Faraday rotation in hot alkali metal vapours,arXiv preprint arXiv:1107.1212,,,,2011,
"Rakonjac, A; Marchant, AL; Billam, TP; Helm, JL; Yu, MMH; Gardiner, SA; Cornish, SL; ",Measuring the disorder of vortex lattices in a Bose-Einstein condensate,Physical Review A,93,1,013607,2016,APS
"Gardiner, Simon Alexander; ",Theory and application of dark states in cavity QED,,,,,1996,University of Waikato
"Soldán, Pavel; Hutson, Jeremy M; ",On the long-range and short-range behavior of potentials from reproducing kernel Hilbert space interpolation,The Journal of Chemical Physics,112,9,4415-4416,2000,American Institute of Physics
"Flower, DR; ",Quantal coupled channels calculations of the rates of self-relaxation of ortho-and para-H2,"Journal of Physics B: Atomic, Molecular and Optical Physics",33,22,5243,2000,IOP Publishing
"Wilgenbus, D; Cabrit, S; des Forêts, G Pineau; Flower, D; ",The Ortho/Para Ratio in C and J-type Shocks,Molecular Hydrogen in Space,,,123-130,2000,Cambridge University Press
"Dickinson, AS; Flower, DR; ",Electron collisional excitation of interstellar molecular ions,Monthly Notices of the Royal Astronomical Society,196,2,297-304,1981,"Oxford University Press Oxford, UK"
"Flower, David; Rabli, D; des Forêts, G Pineau; ",Quantum mechanical and astrophysical studies of methanol,EPJ Web of Conferences,34,,04001,2012,EDP Sciences
"Mauger, Sarah; Millen, James; Jones, MPA; ",Spectroscopy of strontium Rydberg states using electromagnetically induced transparency,"Journal of Physics B: Atomic, Molecular and Optical Physics",40,22,F319,2007,IOP Publishing
"Beswick, Benjamin T; Hughes, Ifan G; Gardiner, Simon A; Astier, Hippolyte PAG; Andersen, Mikkel F; Daszuta, Boris; ",ε-pseudoclassical model for quantum resonances in a cold dilute atomic gas periodically driven by finite-duration standing-wave laser pulses,Physical Review A,94,6,063604,2016,APS
"Hughes, IG; Adams, CS; Bimbard, E; Keaveney, J; Whiting, DJ; Zentile, MA; Sargsyan, A; Sarkisyan, D; ",Absolute absorption and dispersion in dense alkali-metal thermal vapours,,,,,,
"Sarkisyan, D; Sargsyan, A; Keaveney, J; Adams, CS; ",High-contrast atomic dark resonances formed in a ladder system of rubidium atoms in submicron structures,Journal of Experimental and Theoretical Physics,119,,8-14,2014,Springer
"Sakellari, E; Proukakis, NP; Leadbeater, M; Adams, CS; ",Josephson tunnelling of a phase-imprinted Bose–Einstein condensate in a time-dependent double-well potential,New Journal of Physics,6,1,42,2004,IOP Publishing
"Berninger, M; Zenesini, A; Huang, B; Harm, W; Nägerl, H-C; Ferlaino, F; Grimm, R; Julienne, PS; Hutson, JM; ",Universality of the three-body parameter for Efimov states in ultracold cesium,Physical review letters,107,12,120401,2011,APS
"Whiting, Daniel J; Bimbard, Erwan; Keaveney, James; Zentile, Mark A; Adams, Charles S; Hughes, Ifan G; ",Electromagnetically induced absorption in a nondegenerate three-level ladder system,Optics letters,40,18,4289-4292,2015,Optica Publishing Group
"Thornley, Alice E; Hutson, Jeremy M; ",The intermolecular potential of Ar-acetylene. Information from infrared and microwave spectroscopy,Chemical physics letters,198,1-2,1-8,1992,Elsevier
"Hutson, Jeremy M; ",Theory of cold atomic and molecular collisions,Cold Molecules,,,35-70,2009,CRC Press
"Flower, DR; Jordan, C; ",On the Identffication of the A417 Line in the Solar Extreme Ultraviolet Spectrum,"Astronomy and Astrophysics, Vol. 14, p. 473 (1971)",14,,473,1971,
"Flower, DR; ",Vibrational relaxation of H2 in collisions with rotationally excited H2 molecules,"Journal of Physics B: Atomic, Molecular and Optical Physics",33,5,L193,2000,IOP Publishing
"MIROSHNYCHENKO, YEVHEN; SORTAIS, YVAN RP; LANCE, ANDREW M; JONES, MATTHEW PA; MESSIN, GA ETAN; BROWAEYS, ANTOINE; GRANGIER, PHILIPPE; ",Two-dimensional transport and transfer of a single atomic qubit in optical tweezers,,,,,2007,
"Flower, DR; Roueff, E; ",Vibrational relaxation in H-collisions,"Journal of Physics B: Atomic, Molecular and Optical Physics",31,23,L955,1998,IOP Publishing
"Flower, DR; Guilloteau, S; Hartquist, TW; ",OH cooling of interstellar shocks and masers,Monthly Notices of the Royal Astronomical Society,200,1,55P-59P,1982,"Oxford University Press Oxford, UK"
"Ernesti, Andreas; Hutson, Jeremy M; Wright, Nicholas J; ",Fashioning a Model: Optimization methods in chemical physics,,,,,1998,University of Durham
"Jackson, B; McCann, JF; Adams, CS; ",Vortex formation in dilute inhomogeneous Bose-Einstein condensates,Physical Review Letters,80,18,3903,1998,APS
"Flower, David; Le Bourlot, Jacques; Pineau des Forets, Guillaume; Roueff, Evelyne; ",The cooling of astrophysical media by H_2 and HD,H2 in Space,,,E. 3,1999,
"Cooper, David L; Hutson, Jeremy M; Uzer, T; ",Accidental predissociation in lithium dimer: A theoretical investigation,Chemical Physics Letters,86,5-6,472-476,1982,Elsevier
"Potvliege, RM; Smith, Philip HG; ",Two-colour multiphoton ionization of hydrogen by an intense laser field and its third harmonic,"Journal of Physics B: Atomic, Molecular and Optical Physics",24,24,L641,1991,IOP Publishing
"Chapman, William B; Schiffman, Aram; Hutson, Jeremy M; Nesbitt, David J; ","Rotationally inelastic scattering in CH4+ He, Ne, and Ar: State‐to‐state cross sections via direct infrared laser absorption in crossed supersonic jets",The Journal of chemical physics,105,9,3497-3516,1996,American Institute of Physics
"Jones, MPA; Vale, CJ; Sahagun, D; Hall, BV; Sauer, BE; Hinds, EA; Eberlein, CC; Furusawa, K; Richardson, D; ",Cold atoms near metallic and dielectric surfaces,Laser Spectroscopy,,,223-230,2004,World Scientific
"Wetherill, Kevin; Adams, Charles; ",Method and Apparatus for Terahertz or Microwave Imaging,,,,,2021,Google Patents
"Liu, Zhenning; Adams, Charles S; ",Experimental tests of Bertrand’s question and the Duhem–Quine problem,European Journal of Physics,40,6,065801,2019,IOP Publishing
"Whittaker, Kate A; Keaveney, James; Hughes, Ifan G; Adams, Charles S; ",Hilbert transform: Applications to atomic spectra,Physical review A,91,3,032513,2015,APS
"Ma, Z-Y; Burnett, K; d’Arcy, MB; Gardiner, SA; ",Quantum random walks using quantum accelerator modes,Physical Review A,73,1,013401,2006,APS
