Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Hutson, Jeremy M; ",Centrifugal distortion constants for diatomic molecules: an improved computational method,Journal of Physics B: Atomic and Molecular Physics,14,5,851,1981,IOP Publishing
"Gregory, Philip D; Blackmore, Jacob A; Fernley, Luke M; Bromley, Sarah L; Hutson, Jeremy M; Cornish, Simon L; ",Molecule–molecule and atom–molecule collisions with ultracold RbCs molecules,New Journal of Physics,23,12,125004,2021,IOP Publishing
"Hutson, Jeremy M; Liu, Suyan; Moskowitz, Jules W; Bacic, Zlatko; ","Gas Phase Dynamics and Structure: Spectroscopy, Molecular Interactions, Scattering, and Photochemistry-Nonadditive intermolecular forces in Arn-HF van der Waals clusters: Effects on the HF",Journal of Chemical Physics,111,18,8378-8383,1999,"[New York, etc.]: American Institute of Physics."
"Jackson, B; McCann, JF; Adams, CS; ",Vortex rings and mutual drag in trapped Bose-Einstein condensates,Physical Review A,60,6,4882,1999,APS
"Potvliege, RM; Joachain, CJ; ",Coherent electron impact excitation of the n= 2 states of atomic hydrogen at intermediate energies,Journal of Physics B: Atomic and Molecular Physics,18,16,L585,1985,IOP Publishing
"Mckellar, ARW; Johns, JWC; Hutson, JM; ","Rare Gas-Hydrogen Chloride Complexes: Far Infrared Observations of Ar-HCl and Xe-HCl, and Calculations of Excited States for Xe-HCl",Dynamics of Polyatomic Van der Waals Complexes,,,449-460,1990,Springer
"Mathew, Renju S; O’Donnell, Roshan; Pizzey, Danielle; Hughes, Ifan G; ",The Raspberry Pi auto-aligner: Machine learning for automated alignment of laser beams,Review of Scientific Instruments,92,1,,2021,AIP Publishing
"Flower, D; ",MOLECULAR COLLISIONS IN THE INTERSTELLAR MEDIUM Second Edition,CAMBRIDGE ASTROPHYSICS SERIES,42,1,ALL-ALL,2007,Cambridge University Press
"Tokunaga, Sean K; Skomorowski, Wojciech; Żuchowski, Piotr S; Moszynski, Robert; Hutson, Jeremy M; Hinds, EA; Tarbutt, MR; ","Prospects for sympathetic cooling of molecules in electrostatic, ac and microwave traps",The European Physical Journal D,65,,141-149,2011,Springer
"Soldán, Pavel; Cvitaš, Marko T; Hutson, Jeremy M; ",Three-body nonadditive forces between spin-polarized alkali-metal atoms,Physical Review A,67,5,054702,2003,APS
"Quemener, Goulven; Honvault, Pascal; Launay, Jean-Michel; Soldan, Pavel; Potter, Daniel E; Hutson, Jeremy M; ",Atomic and molecular collisions and interactions-Ultracold quantum dynamics: Spin-polarized K+ K2 collisions with three identical bosons or fermions,Physical Review-Section A-Atomic Molecular and Optical Physics,71,3,32722-32722,2005,"New York, NY: Published by the American Physical Society through the …"
"Croft, James FE; Hutson, Jeremy M; Julienne, Paul S; ",Optimized multichannel quantum defect theory for cold molecular collisions,Physical Review A,86,2,022711,2012,APS
"Ma, Zhao-Yuan; d'Arcy, Michael; Gardiner, Simon; Burnett, Keith; Summy, Gil; Guarneri, Italo; Rebuzzini, Laura; Fishman, Shmuel; ",Gravity-sensitive dynamics and quantum chaos,APS March Meeting Abstracts,2004,,J22. 011,2004,
"Dragicevic, M; Friedl, M; Hrubec, J; Steininger, H; Gädda, A; Härkönen, J; Lampén, T; Luukka, P; Peltola, T; Tuominen, E; ",Test beam performance measurements for the Phase I upgrade of the CMS pixel detector,Journal of Instrumentation,12,05,P05022,2017,IOP Publishing
"Adams, CS; Cox, SG; Riis, E; Arnold, AS; Adamson, SO; Dement’ev, AI; Maleev, VV; ",Acquaviva S and De Giorgi ML: Fast photography of XeCl laser-induced plasma of graphite in vacuum and in nitrogen atmosphere 247 Adachi J: see Hosaka K 4617,J. Phys. B: At. Mol. Opt. Phys,36,,4913-4938,2003,
"Ticknor, C; Parker, NG; Melatos, A; Cornish, SL; O’Dell, DHJ; Martin, AM; ",Collapse times of dipolar Bose-Einstein condensates,Physical Review A,78,6,061607,2008,APS
"Guttridge, Alexander; Hopkins, Stephen A; Frye, Matthew D; McFerran, John J; Hutson, Jeremy M; Cornish, Simon L; ",Production of ultracold Cs* Yb molecules by photoassociation,Physical Review A,97,6,063414,2018,APS
"Carty, David; ",Collisional processes of astrochemical importance at very low temperatures,,,,,2003,University of Birmingham
"Bromley, Sarah; Innes, Andrew; Matthies, Jonas; McArd, Lewis; Mortlock, Jonathan; Ratkata, Apichayaporn; Cornish, Simon; ",Towards a quantum gas microscope for molecules,"APS Division of Atomic, Molecular and Optical Physics Meeting Abstracts",2020,,K01. 171,2020,
"Jiang, H; Hutson, J; Bacic, Z; ",Size and isomer dependence of HF vibrational frequency shifts in ArnHF clusters from diffusion Monte Carlo calculations on nonadditive potential energy surfaces.,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,226,,U313-U313,2003,"AMER CHEMICAL SOC 1155 16TH ST, NW, WASHINGTON, DC 20036 USA"
"Flower, DR; Pineau des Forêts, G; ",Thermal and chemical evolution of interstellar clouds: Erratum,Monthly Notices of the Royal Astronomical Society,249,,191-787,1991,
"Peyrot, Tom; Keaveney, James; van RP Sortais, Y; Sargsyan, Armen; Hughes, IG; Greffet, JJ; Adams, CS; Browaeys, Antoine; ",Atomic vapor confined in a nanoscale geometry: from mesoscopic to collective effects.,European Quantum Electronics Conference,,,ea_2_5,2019,Optica Publishing Group
"Atkins, Keith M; Hutson, Jeremy M; ",A classical trajectory study of Ar+ Ar2 collisions: Phase space structures in three degrees of freedom,The Journal of chemical physics,103,21,9218-9227,1995,American Institute of Physics
